country,year,age,sex,qx,,,,,
Australia,1990,0,female,0.00707,,,,,
Australia,1990,1,female,0.0007,,,,,
Australia,1990,2,female,0.00031,,,,,
Australia,1990,3,female,0.0002,,,,,
Australia,1990,4,female,0.00014,,,,,
Australia,1990,5,female,0.00017,,,,,
Australia,1990,6,female,0.00012,,,,,
Australia,1990,7,female,0.00013,,,,,
Australia,1990,8,female,0.00015,,,,,
Australia,1990,9,female,0.00014,,,,,
Australia,1990,10,female,0.00012,,,,,
Australia,1990,11,female,0.00009,,,,,
Australia,1990,12,female,0.00012,,,,,
Australia,1990,13,female,0.00018,,,,,
Australia,1990,14,female,0.00025,,,,,
Australia,1990,15,female,0.00025,,,,,
Australia,1990,16,female,0.00031,,,,,
Australia,1990,17,female,0.00036,,,,,
Australia,1990,18,female,0.0006,,,,,
Australia,1990,19,female,0.00042,,,,,
Australia,1990,20,female,0.00056,,,,,
Australia,1990,21,female,0.00053,,,,,
Australia,1990,22,female,0.00033,,,,,
Australia,1990,23,female,0.00046,,,,,
Australia,1990,24,female,0.00033,,,,,
Australia,1990,25,female,0.00045,,,,,
Australia,1990,26,female,0.00048,,,,,
Australia,1990,27,female,0.00042,,,,,
Australia,1990,28,female,0.00051,,,,,
Australia,1990,29,female,0.00044,,,,,
Australia,1990,30,female,0.00048,,,,,
Australia,1990,31,female,0.00063,,,,,
Australia,1990,32,female,0.00051,,,,,
Australia,1990,33,female,0.00059,,,,,
Australia,1990,34,female,0.00063,,,,,
Australia,1990,35,female,0.00072,,,,,
Australia,1990,36,female,0.00064,,,,,
Australia,1990,37,female,0.0007,,,,,
Australia,1990,38,female,0.00077,,,,,
Australia,1990,39,female,0.00087,,,,,
Australia,1990,40,female,0.00097,,,,,
Australia,1990,41,female,0.00094,,,,,
Australia,1990,42,female,0.00111,,,,,
Australia,1990,43,female,0.00121,,,,,
Australia,1990,44,female,0.00135,,,,,
Australia,1990,45,female,0.00135,,,,,
Australia,1990,46,female,0.00177,,,,,
Australia,1990,47,female,0.00196,,,,,
Australia,1990,48,female,0.00215,,,,,
Australia,1990,49,female,0.00204,,,,,
Australia,1990,50,female,0.00269,,,,,
Australia,1990,51,female,0.00297,,,,,
Australia,1990,52,female,0.00305,,,,,
Australia,1990,53,female,0.00363,,,,,
Australia,1990,54,female,0.00388,,,,,
Australia,1990,55,female,0.0039,,,,,
Australia,1990,56,female,0.00427,,,,,
Australia,1990,57,female,0.00519,,,,,
Australia,1990,58,female,0.00495,,,,,
Australia,1990,59,female,0.0061,,,,,
Australia,1990,60,female,0.00603,,,,,
Australia,1990,61,female,0.00717,,,,,
Australia,1990,62,female,0.00779,,,,,
Australia,1990,63,female,0.00922,,,,,
Australia,1990,64,female,0.00973,,,,,
Australia,1990,65,female,0.01111,,,,,
Australia,1990,66,female,0.01197,,,,,
Australia,1990,67,female,0.01335,,,,,
Australia,1990,68,female,0.01424,,,,,
Australia,1990,69,female,0.01609,,,,,
Australia,1990,70,female,0.01822,,,,,
Australia,1990,71,female,0.01884,,,,,
Australia,1990,72,female,0.02209,,,,,
Australia,1990,73,female,0.02512,,,,,
Australia,1990,74,female,0.02836,,,,,
Australia,1990,75,female,0.03019,,,,,
Australia,1990,76,female,0.03358,,,,,
Australia,1990,77,female,0.0385,,,,,
Australia,1990,78,female,0.04238,,,,,
Australia,1990,79,female,0.04956,,,,,
Australia,1990,80,female,0.05282,,,,,
Australia,1990,81,female,0.05588,,,,,
Australia,1990,82,female,0.06735,,,,,
Australia,1990,83,female,0.07174,,,,,
Australia,1990,84,female,0.08311,,,,,
Australia,1990,85,female,0.09218,,,,,
Australia,1990,86,female,0.10284,,,,,
Australia,1990,87,female,0.11045,,,,,
Australia,1990,88,female,0.12475,,,,,
Australia,1990,89,female,0.14623,,,,,
Australia,1990,90,female,0.15657,,,,,
Australia,1990,91,female,0.16056,,,,,
Australia,1990,92,female,0.18821,,,,,
Australia,1990,93,female,0.19002,,,,,
Australia,1990,94,female,0.22364,,,,,
Australia,1990,95,female,0.23807,,,,,
Australia,1990,96,female,0.25755,,,,,
Australia,1990,97,female,0.27758,,,,,
Australia,1990,98,female,0.29804,,,,,
Australia,1990,99,female,0.31877,,,,,
Australia,1990,100,female,0.33961,,,,,
Australia,1990,101,female,0.36041,,,,,
Australia,1990,102,female,0.38099,,,,,
Australia,1990,103,female,0.40121,,,,,
Australia,1990,104,female,0.42093,,,,,
Australia,1990,105,female,0.44,,,,,
Australia,1990,106,female,0.45833,,,,,
Australia,1990,107,female,0.47582,,,,,
Australia,1990,108,female,0.4924,,,,,
Australia,1990,109,female,0.50801,,,,,
Australia,1990,110,female,1,,,,,
Australia,1991,0,female,0.00601,,,,,
Australia,1991,1,female,0.00062,,,,,
Australia,1991,2,female,0.00028,,,,,
Australia,1991,3,female,0.00017,,,,,
Australia,1991,4,female,0.00014,,,,,
Australia,1991,5,female,0.00013,,,,,
Australia,1991,6,female,0.00022,,,,,
Australia,1991,7,female,0.00012,,,,,
Australia,1991,8,female,0.00009,,,,,
Australia,1991,9,female,0.00013,,,,,
Australia,1991,10,female,0.00013,,,,,
Australia,1991,11,female,0.00008,,,,,
Australia,1991,12,female,0.0001,,,,,
Australia,1991,13,female,0.00016,,,,,
Australia,1991,14,female,0.0003,,,,,
Australia,1991,15,female,0.00023,,,,,
Australia,1991,16,female,0.00023,,,,,
Australia,1991,17,female,0.00037,,,,,
Australia,1991,18,female,0.00032,,,,,
Australia,1991,19,female,0.00047,,,,,
Australia,1991,20,female,0.00048,,,,,
Australia,1991,21,female,0.00037,,,,,
Australia,1991,22,female,0.00039,,,,,
Australia,1991,23,female,0.00048,,,,,
Australia,1991,24,female,0.00045,,,,,
Australia,1991,25,female,0.00048,,,,,
Australia,1991,26,female,0.00049,,,,,
Australia,1991,27,female,0.0005,,,,,
Australia,1991,28,female,0.00054,,,,,
Australia,1991,29,female,0.00058,,,,,
Australia,1991,30,female,0.00045,,,,,
Australia,1991,31,female,0.00057,,,,,
Australia,1991,32,female,0.00047,,,,,
Australia,1991,33,female,0.0005,,,,,
Australia,1991,34,female,0.0006,,,,,
Australia,1991,35,female,0.00064,,,,,
Australia,1991,36,female,0.00087,,,,,
Australia,1991,37,female,0.00073,,,,,
Australia,1991,38,female,0.00082,,,,,
Australia,1991,39,female,0.0008,,,,,
Australia,1991,40,female,0.00087,,,,,
Australia,1991,41,female,0.00108,,,,,
Australia,1991,42,female,0.00112,,,,,
Australia,1991,43,female,0.00128,,,,,
Australia,1991,44,female,0.00131,,,,,
Australia,1991,45,female,0.00151,,,,,
Australia,1991,46,female,0.0017,,,,,
Australia,1991,47,female,0.0019,,,,,
Australia,1991,48,female,0.00187,,,,,
Australia,1991,49,female,0.00238,,,,,
Australia,1991,50,female,0.00254,,,,,
Australia,1991,51,female,0.00273,,,,,
Australia,1991,52,female,0.00321,,,,,
Australia,1991,53,female,0.00339,,,,,
Australia,1991,54,female,0.00356,,,,,
Australia,1991,55,female,0.00392,,,,,
Australia,1991,56,female,0.00428,,,,,
Australia,1991,57,female,0.00465,,,,,
Australia,1991,58,female,0.00525,,,,,
Australia,1991,59,female,0.00606,,,,,
Australia,1991,60,female,0.0063,,,,,
Australia,1991,61,female,0.00757,,,,,
Australia,1991,62,female,0.0076,,,,,
Australia,1991,63,female,0.00869,,,,,
Australia,1991,64,female,0.00939,,,,,
Australia,1991,65,female,0.01076,,,,,
Australia,1991,66,female,0.01181,,,,,
Australia,1991,67,female,0.01275,,,,,
Australia,1991,68,female,0.01364,,,,,
Australia,1991,69,female,0.01567,,,,,
Australia,1991,70,female,0.01733,,,,,
Australia,1991,71,female,0.02058,,,,,
Australia,1991,72,female,0.02053,,,,,
Australia,1991,73,female,0.02381,,,,,
Australia,1991,74,female,0.02626,,,,,
Australia,1991,75,female,0.02831,,,,,
Australia,1991,76,female,0.03342,,,,,
Australia,1991,77,female,0.03793,,,,,
Australia,1991,78,female,0.0415,,,,,
Australia,1991,79,female,0.0478,,,,,
Australia,1991,80,female,0.05166,,,,,
Australia,1991,81,female,0.05354,,,,,
Australia,1991,82,female,0.06549,,,,,
Australia,1991,83,female,0.07318,,,,,
Australia,1991,84,female,0.07703,,,,,
Australia,1991,85,female,0.09011,,,,,
Australia,1991,86,female,0.09602,,,,,
Australia,1991,87,female,0.11371,,,,,
Australia,1991,88,female,0.11777,,,,,
Australia,1991,89,female,0.13176,,,,,
Australia,1991,90,female,0.15046,,,,,
Australia,1991,91,female,0.16711,,,,,
Australia,1991,92,female,0.1865,,,,,
Australia,1991,93,female,0.19423,,,,,
Australia,1991,94,female,0.21371,,,,,
Australia,1991,95,female,0.23093,,,,,
Australia,1991,96,female,0.25,,,,,
Australia,1991,97,female,0.26966,,,,,
Australia,1991,98,female,0.2898,,,,,
Australia,1991,99,female,0.31027,,,,,
Australia,1991,100,female,0.33091,,,,,
Australia,1991,101,female,0.35157,,,,,
Australia,1991,102,female,0.37209,,,,,
Australia,1991,103,female,0.39231,,,,,
Australia,1991,104,female,0.4121,,,,,
Australia,1991,105,female,0.43132,,,,,
Australia,1991,106,female,0.44985,,,,,
Australia,1991,107,female,0.46759,,,,,
Australia,1991,108,female,0.48447,,,,,
Australia,1991,109,female,0.50043,,,,,
Australia,1991,110,female,1,,,,,
Australia,1992,0,female,0.00587,,,,,
Australia,1992,1,female,0.00054,,,,,
Australia,1992,2,female,0.00031,,,,,
Australia,1992,3,female,0.00027,,,,,
Australia,1992,4,female,0.00027,,,,,
Australia,1992,5,female,0.00019,,,,,
Australia,1992,6,female,0.00012,,,,,
Australia,1992,7,female,0.00019,,,,,
Australia,1992,8,female,0.00013,,,,,
Australia,1992,9,female,0.00018,,,,,
Australia,1992,10,female,0.00009,,,,,
Australia,1992,11,female,0.0001,,,,,
Australia,1992,12,female,0.00014,,,,,
Australia,1992,13,female,0.00015,,,,,
Australia,1992,14,female,0.00021,,,,,
Australia,1992,15,female,0.00015,,,,,
Australia,1992,16,female,0.00027,,,,,
Australia,1992,17,female,0.00034,,,,,
Australia,1992,18,female,0.00046,,,,,
Australia,1992,19,female,0.00046,,,,,
Australia,1992,20,female,0.00043,,,,,
Australia,1992,21,female,0.00041,,,,,
Australia,1992,22,female,0.00042,,,,,
Australia,1992,23,female,0.00047,,,,,
Australia,1992,24,female,0.00049,,,,,
Australia,1992,25,female,0.00041,,,,,
Australia,1992,26,female,0.00037,,,,,
Australia,1992,27,female,0.00036,,,,,
Australia,1992,28,female,0.00046,,,,,
Australia,1992,29,female,0.00045,,,,,
Australia,1992,30,female,0.00047,,,,,
Australia,1992,31,female,0.00039,,,,,
Australia,1992,32,female,0.0006,,,,,
Australia,1992,33,female,0.00065,,,,,
Australia,1992,34,female,0.0006,,,,,
Australia,1992,35,female,0.00053,,,,,
Australia,1992,36,female,0.0006,,,,,
Australia,1992,37,female,0.00077,,,,,
Australia,1992,38,female,0.00086,,,,,
Australia,1992,39,female,0.00087,,,,,
Australia,1992,40,female,0.00098,,,,,
Australia,1992,41,female,0.00099,,,,,
Australia,1992,42,female,0.00096,,,,,
Australia,1992,43,female,0.00114,,,,,
Australia,1992,44,female,0.00148,,,,,
Australia,1992,45,female,0.00156,,,,,
Australia,1992,46,female,0.00165,,,,,
Australia,1992,47,female,0.00185,,,,,
Australia,1992,48,female,0.002,,,,,
Australia,1992,49,female,0.0021,,,,,
Australia,1992,50,female,0.00276,,,,,
Australia,1992,51,female,0.00286,,,,,
Australia,1992,52,female,0.0031,,,,,
Australia,1992,53,female,0.00351,,,,,
Australia,1992,54,female,0.00326,,,,,
Australia,1992,55,female,0.00407,,,,,
Australia,1992,56,female,0.00426,,,,,
Australia,1992,57,female,0.00528,,,,,
Australia,1992,58,female,0.00504,,,,,
Australia,1992,59,female,0.00596,,,,,
Australia,1992,60,female,0.00558,,,,,
Australia,1992,61,female,0.007,,,,,
Australia,1992,62,female,0.00792,,,,,
Australia,1992,63,female,0.00874,,,,,
Australia,1992,64,female,0.00942,,,,,
Australia,1992,65,female,0.01013,,,,,
Australia,1992,66,female,0.01111,,,,,
Australia,1992,67,female,0.01209,,,,,
Australia,1992,68,female,0.01388,,,,,
Australia,1992,69,female,0.01558,,,,,
Australia,1992,70,female,0.01725,,,,,
Australia,1992,71,female,0.01839,,,,,
Australia,1992,72,female,0.02297,,,,,
Australia,1992,73,female,0.02377,,,,,
Australia,1992,74,female,0.0263,,,,,
Australia,1992,75,female,0.02901,,,,,
Australia,1992,76,female,0.0333,,,,,
Australia,1992,77,female,0.03739,,,,,
Australia,1992,78,female,0.04208,,,,,
Australia,1992,79,female,0.04657,,,,,
Australia,1992,80,female,0.05411,,,,,
Australia,1992,81,female,0.05772,,,,,
Australia,1992,82,female,0.06361,,,,,
Australia,1992,83,female,0.07334,,,,,
Australia,1992,84,female,0.08079,,,,,
Australia,1992,85,female,0.09132,,,,,
Australia,1992,86,female,0.10317,,,,,
Australia,1992,87,female,0.11726,,,,,
Australia,1992,88,female,0.1189,,,,,
Australia,1992,89,female,0.13771,,,,,
Australia,1992,90,female,0.1483,,,,,
Australia,1992,91,female,0.17147,,,,,
Australia,1992,92,female,0.18408,,,,,
Australia,1992,93,female,0.196,,,,,
Australia,1992,94,female,0.21099,,,,,
Australia,1992,95,female,0.23624,,,,,
Australia,1992,96,female,0.25552,,,,,
Australia,1992,97,female,0.27537,,,,,
Australia,1992,98,female,0.29565,,,,,
Australia,1992,99,female,0.31622,,,,,
Australia,1992,100,female,0.33691,,,,,
Australia,1992,101,female,0.35758,,,,,
Australia,1992,102,female,0.37807,,,,,
Australia,1992,103,female,0.39821,,,,,
Australia,1992,104,female,0.41788,,,,,
Australia,1992,105,female,0.43694,,,,,
